#Base Language File for Spotlight - Super Mario 3D World Editor
#These files contain text used by the program, translated for other languages
#Lines are formatted as follows:
# <MessageID>|<Text>
#Where <MessageID> is the internal ID of the message and <Text> is the actual text
#Lines that start with # are comments.
# <N> represents a new line
# </> represents the | character
# {x} where x is a number indicates that the program is going to fill this space in. Example: The Loaded Database is outdated ({0}). Spotlight replaces the {0} with the outdated database version
# Blank lines are skipped by the program

#Main Menu
EditorTitle|Spotlight
WelcomeMessageHeader|Einführung
WelcomeMessageText|Willkommen in Spotlight!<N>Um dieses Programm zu benutzen, benötigst du den "StageData" und den "ObjectData" Ordner aus Super Mario 3D World<N><N>Bitte wähle den Ordner aus, der diese beiden Ordner beinhaltet.
StatusWelcomeMessage|Willkommen in Spotlight!
StatusWelcomeBackMessage|Willkommen zurück!
DatabasePickerTitle|Wähle das Verteichniss aus, in dem sich Super Mario 3D World befindet.
InvalidGamepathText|Das Verzeichniss enthält den "ObjectData" und "StageData" Ordner nicht.
InvalidGamepathHeader|Das Verzeichniss ist gültig.
DatabaseMissingText|Spotlight konnte die Objekt Parameter Datenbank nicht finden. (ParameterDatabase.sopd)<N><N>Spotlight braucht eine Objekt Parameter Datenbank um Objekte hinzuzufügen.<N><N>Würdest du gerne aus deinem Spiel eine neue Objekt Parameter Datenbank generieren?
DatabaseMissingHeader|Die Datenbank fehlt.
DatabaseExcludeText|Bist du die sicher? Ohne diese, kannst du keine Objekte hinzufügen.
DatabaseExcludeHeader|Bestätigung
DatabaseOutdatedHeader|Die gelandene Datenbank ist veraltet. ({0}).<N>Die neuste Version der Datenbank ist {1}.<N>Würdest du gerne aus deinem Spiel eine neue Objekt Parameter Datenbank generieren?
DatabaseOutdatedHeader|Die Datenbank ist fehlt.

StatusOpenSuccessMessage|{0} wurde erfolgreich geladen.
StatusWaitMessage|Einen Moment...
StatusOpenCancelledMessage|Das Öffnen wurde Abgebrochen.
StatusOpenFailedMessage|Öffnen Fehlgeschlagen.
