#Base Language File for Moonlight - Super Mario Odyssey Editor
#These files contain text used by the program, translated for other languages
#Lines are formatted as follows:
# <MessageID>|<Text>
#Where <MessageID> is the internal ID of the message and <Text> is the actual text
#Lines that start with # are comments.
# <N> represents a new line
# </> represents the | character
# {x} where x is a number indicates that the program is going to fill this space in. Example: The Loaded Database is outdated ({0}). Moonlight replaces the {0} with the outdated database version
# Blank lines are skipped by the program

LevelEditorFormHeader|Moonlight
LevelEditorForm.FileToolStripMenuItem|File
LevelEditorForm.OpenToolStripMenuItem|Open
LevelEditorForm.OpenExToolStripMenuItem|Open With Selector
LevelEditorForm.SaveToolStripMenuItem|Save
LevelEditorForm.SaveAsToolStripMenuItem|Save As
LevelEditorForm.OptionsToolStripMenuItem|Options
LevelEditorForm.EditToolStripMenuItem|Edit
LevelEditorForm.UndoToolStripMenuItem|Undo
LevelEditorForm.RedoToolStripMenuItem|Redo
LevelEditorForm.AddObjectToolStripMenuItem|Add Object
LevelEditorForm.AddZoneToolStripMenuItem|Add Zone
LevelEditorForm.DuplicateToolStripMenuItem|Duplicate
LevelEditorForm.DeleteToolStripMenuItem|Delete
LevelEditorForm.LevelParametersToolStripMenuItem|Level Parameters
LevelEditorForm.MoveSelectionToToolStripMenuItem|Move Selection To
LevelEditorForm.MoveToLinkedToolStripMenuItem|Linked Objects
LevelEditorForm.MoveToAppropriateListsToolStripMenuItem|Appropriate Lists
LevelEditorForm.SelectionToolStripMenuItem|Selection
LevelEditorForm.SelectAllToolStripMenuItem|Select All
LevelEditorForm.DeselectAllToolStripMenuItem|Deselect All
LevelEditorForm.GrowSelectionToolStripMenuItem|Grow Selection
LevelEditorForm.SelectAllLinkedToolStripMenuItem|Select All Linked
LevelEditorForm.ModeToolStripMenuItem|Mode
LevelEditorForm.EditObjectsToolStripMenuItem|Edit Objects
LevelEditorForm.EditLinksToolStripMenuItem|Edit Links
LevelEditorForm.AboutToolStripMenuItem|About
LevelEditorForm.SpotlightWikiToolStripMenuItem|Moonlight Wiki
LevelEditorForm.CheckForUpdatesToolStripMenuItem|Check for Updates
LevelEditorForm.EditIndividualButton|Edit Individual
LevelEditorForm.CancelAddObjectButton|Cancel
WelcomeMessageHeader|Introduction
WelcomeMessageText|Welcome to Moonlight!<N><N>In order to use this program, you will need the folders "StageData" and "ObjectData" from Super Mario Odyssey<N><N>Please select the folder than contains these folders
StatusWelcomeMessage|Welcome to Moonlight!
StatusWelcomeBackMessage|Welcome back!
DatabasePickerTitle|Select the Game Directory of Super Mario Odyssey 
InvalidGamepathText|The Directory doesn't contain ObjectData and StageData.
InvalidGamepathHeader|The GamePath is invalid
DatabaseMissingText|Moonlight could not find the Object Parameter Database (ParameterDatabase.sopd)<N><N>Moonlight needs an Object Parameter Database in order for you to add objects.<N><N>Would you like to generate a new object Database from your SMO Directory?
DatabaseMissingHeader|Database Missing
DatabaseExcludeText|Are you sure? You cannot add objects without it.
DatabaseExcludeHeader|Confirmation
DatabaseOutdatedText|The Loaded Database is outdated ({0}).<N>The latest Database version is {1}.<N>Would you like to rebuild the database from your 3DW Files?
DatabaseOutdatedHeader|Database Outdated
StatusOpenSuccessMessage|{0} has been Loaded successfully.
StatusWaitMessage|Waiting...
StatusOpenCancelledMessage|Open Cancelled
StatusOpenFailedMessage|Open Failed
StatusLevelSavedMessage|Level Saved!
StatusSettingsSavedMessage|Settings Saved.
StatusSaveCancelledOrFailedMessage|Save Cancelled or Failed.
