#Base Language File for Spotlight - Super Mario 3D World Editor
#These files contain text used by the program, translated for other languages
#Lines are formatted as follows:
# <MessageID>|<Text>
#Where <MessageID> is the internal ID of the message and <Text> is the actual text
#Lines that start with # are comments.
# <N> represents a new line
# </> represents the | character
# {x} where x is a number indicates that the program is going to fill this space in. Example: The Loaded Database is outdated ({0}). Spotlight replaces the {0} with the outdated database version
# Blank lines are skipped by the program
# |は半角じゃないとSpotlightが読み込めません
# Japanese translation was made by フォーン(fon)

#メインメニュー
EditorTitle|Spotlight
WelcomeMessageHeader|導入
WelcomeMessageText|Spotlightへようこそ！<N>このプログラムを使用するには、スーパーマリオ3Dワールドの「StageData」と「ObjectData」のフォルダが必要です<N><N>これらのフォルダが含まれるフォルダを選択してください。
StatusWelcomeMessage|Spotlightへようこそ！
StatusWelcomeBackMessage|おかえりなさい！
DatabasePickerTitle|スーパーマリオ3Dワールドのゲームディレクトリを選択してください。
InvalidGamepathText|ディレクトリにObjectDataとStageDataが含まれていません。
InvalidGamepathHeader|ゲームパスが無効です。
DatabaseMissingText|オブジェクトパラメータデータベースを見つけることができませんでした。 (ParameterDatabase.sopd)<N><N>Spotlightでは、オブジェクトを追加するためにはオブジェクトパラメータデータベースが必要です。3DWのディレクトリから新しいオブジェクトデータベースを生成しますか？
DatabaseExcludeText|本当によろしいですか？ これがなければオブジェクトは追加できません。
DatabaseExcludeHeader|確認
DatabaseOutdatedHeader|ロードしたデータベースは旧式です。 ({0}). <N>最新のデータベースのバージョンは{1}です。<N>3DWのファイルからデータベースを再生成しますか？
DatabaseOutdatedHeader|旧式のデータベースです。

StatusOpenSuccessMessage|{0}が正常にロードされました。
StatusWaitMessage|待機中...
StatusOpenCancelledMessage|開けませんでした。
StatusOpenFailedMessage|開けませんでした。
StatusLevelSavedMessage|変更が保存されました。
StatusSettingsSavedMessage|設定が保存されました。
StatusSaveCancelledOrFailedMessage|保存がキャンセルされたか失敗しました。
StatusObjectPlaceNoticeMessage|クリックでオブジェクトを配置する必要があります。shiftを押し続けると複数のオブジェクトが設置されます。
